,formatted_readme,summary,prompt_text,generated_summary
6012,"//titleLabel.setBackground(null, null); // titleLabel.setForeground(null);",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//titleLabel.setBackground(null, null); // titleLabel.setForeground(null);

### Response:",NO.equals(titleLabel.getBackground())
6013,//make port invisible unless mouse enters,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//make port invisible unless mouse enters

### Response:",NO.
6014,// Empty implementation.,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Empty implementation.

### Response:",YES.class
6015,/* * Test method for 'org.apache.jmeter.protocol. HTTPSampler)' */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * Test method for 'org.apache.jmeter.protocol. HTTPSampler)' */

### Response:",NO.getSamplerResultData()
6016,"// Update the status of the object and if necessary, schedule an update",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Update the status of the object and if necessary, schedule an update

### Response:",NO. The object is already updated.
6017,// This pair of params where the same. Lets check the next pair.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// This pair of params where the same. Lets check the next pair.

### Response:","NO. The first parameter is immutable, so we can use it in the AND."
6018,/* (non-Javadoc) * net.javaprog.ui.wizard.AbstractStep createComponent() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* (non-Javadoc) * net.javaprog.ui.wizard.AbstractStep createComponent() */

### Response:",NO.
6019,// TODO: Probably really want to cancel editing //((FigTextEditor) focusOwner).cancelEditing();,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: Probably really want to cancel editing //((FigTextEditor) focusOwner).cancelEditing();

### Response:",YES.equals(focusOwner.getEditingDomain().isCanEdit(focusOwner))
6020,//{{{ Token constructor,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ Token constructor

### Response:",NO. Tokens are not instantiated
6021,// verify the items were correctly added,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// verify the items were correctly added

### Response:",NO. The items were not added correctly.
6022,/** * TODO: Move this to IOUtilities Extracts the specified zip file to the specified output directory. * * zipFile * outputDirectory * IOException */,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/** * TODO: Move this to IOUtilities Extracts the specified zip file to the specified output directory. * * zipFile * outputDirectory * IOException */

### Response:",YES.class
6023,/* * org.argouml.ui.explorer.rules.PerspectiveRule getChildren(java.lang.Object) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.ui.explorer.rules.PerspectiveRule getChildren(java.lang.Object) */

### Response:",NO.
6024,// private AliasesListInternalFrame _aliasesListWindow; // private DriversListInternalFrame _driversListWindow;,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// private AliasesListInternalFrame _aliasesListWindow; // private DriversListInternalFrame _driversListWindow;

### Response:",NO.
6025,// test for 401 result (HTTP only),NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// test for 401 result (HTTP only)

### Response:","NO. The HTTP spec says that 401 is an error, not a notification."
6026,/*onlyStatic*/,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/*onlyStatic*/

### Response:",NO.
6027,/* * org.argouml.ui.explorer.rules.PerspectiveRule getRuleName() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.ui.explorer.rules.PerspectiveRule getRuleName() */

### Response:",NO.
6028,/* * org.tigris.gef.presentation.Fig setLineWidth(int) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.tigris.gef.presentation.Fig setLineWidth(int) */

### Response:",NO.
6029,"//the BLOB type requires a size arguement - this defaults to //bytes - no arg defaults to 1 whole byte! //other argument mods include K - kilobyte, M - megabyte, G - gigabyte. //refer to the PBdevelopers guide for more info.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//the BLOB type requires a size arguement - this defaults to //bytes - no arg defaults to 1 whole byte! //other argument mods include K - kilobyte, M - megabyte, G - gigabyte. //refer to the PBdevelopers guide for more info.

### Response:",NO. The size must be specified.
6030,// Now parse the DOM tree,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Now parse the DOM tree

### Response:",NO. The DOM tree has already been parsed.
6031,"// Causes NPE in JDK 1.3.1 //_contentsTxt.setText("""");",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Causes NPE in JDK 1.3.1 //_contentsTxt.setText("""");

### Response:",NO.using(NONE_NIL_P);
6032,// PR 38370,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// PR 38370

### Response:",NO. The fix is to check if the owner is already in the collection being removed. //
6033,//$NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$

### Response:",NO. The property is not a collection...
6034,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6035,// Guaranteed to return a non-null array,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Guaranteed to return a non-null array

### Response:",NO.
6036,"// do nothing, the cookie manager has to accept changes.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// do nothing, the cookie manager has to accept changes.

### Response:",NO. Cookie manager needs to be set before any changes can be made.
6037,// We will need to check the containment if we have to convert the EAttribute to an EReference later. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// We will need to check the containment if we have to convert the EAttribute to an EReference later. //

### Response:",NO. EReference contains EAttribute implicitly. //
6038,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6039,// line 610,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// line 610

### Response:",NO.
6040,// Do the conversion into the object in a safe manner,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Do the conversion into the object in a safe manner

### Response:","NO. The conversion can be done in a safe manner, but it is done in the constructor"
6041,"//{{{ Buffers, edit panes, split panes",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ Buffers, edit panes, split panes

### Response:",NO. The split panes are created in the createBuffers() method.
6042,//{{{ Private members,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ Private members

### Response:",NO.
6043,// start a new search -> clear all previous search results,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// start a new search -> clear all previous search results

### Response:",NO.searching has been replaced by NO.busy
6044,//Add end,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//Add end

### Response:","NO. The fix is to add the MimePart that is to be signed, to the mailMessage"
6045,// Unregister the collection as a change listener to each series in // the collection.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Unregister the collection as a change listener to each series in // the collection.

### Response:",NO. The collection should not be registered as a change listener to // each series in the collection.
6046,// We do not want to diagnose any error that have already been diagnosed by a super type. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// We do not want to diagnose any error that have already been diagnosed by a super type. //

### Response:",NO. The super type's diagnoses are not inherited.
6047,// Clean up the temporary container annotations for holding map entry classes until they are for sure needed. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Clean up the temporary container annotations for holding map entry classes until they are for sure needed. //

### Response:",NO. Don't do this.
6048,// TODO should we just collect these like with the collections above?,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO should we just collect these like with the collections above?

### Response:",YES.
6049,"// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.

### Response:",YES.equals(File::Constants.CONST_FILE_PERSISTENT_DIR_NAME_CONSTANT)
6050,/* (non-Javadoc) * com.mockobjects.sql.MockDatabaseMetaData supportsDataManipulationTransactionsOnly() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* (non-Javadoc) * com.mockobjects.sql.MockDatabaseMetaData supportsDataManipulationTransactionsOnly() */

### Response:",NO. use isDataManipulationTransient() instead
6051,// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in This.java... should it? // Call on 'This' can never be a command,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Look for a default invoke() handler method in the namespace // Note: this code duplicates that in This.java... should it? // Call on 'This' can never be a command

### Response:",YES.equals(this.classManager.getDefaultInvokeMethodName());
6052,// FIXME Hacky workaround to JBCACHE-1202,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// FIXME Hacky workaround to JBCACHE-1202

### Response:",YES.
6053,/** * Creates a new OCL critic * * oclConstraint ocl expression * headline headline * description description * moreInfoURL the info url * knowledgeTypes the knowledge types * supportedDecisions the decisions * priority the priority * InvalidOclException if the ocl is not valid * * TODO: Do these need to be Lists or can they be simple Collections? */,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/** * Creates a new OCL critic * * oclConstraint ocl expression * headline headline * description description * moreInfoURL the info url * knowledgeTypes the knowledge types * supportedDecisions the decisions * priority the priority * InvalidOclException if the ocl is not valid * * TODO: Do these need to be Lists or can they be simple Collections? */

### Response:",YES.
6054,//make port invisible unless mouse enters,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//make port invisible unless mouse enters

### Response:",NO.
6055,// number of times eval hit 'this.caller',NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// number of times eval hit 'this.caller'

### Response:",NO.
6056,"/* The TV existed, but maybe it was not ""true"": */",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* The TV existed, but maybe it was not ""true"": */

### Response:",NO. The existence of a TV does not imply that the TV is true.
6057,// Plugin knows only how to script Views and Stored Procedures on DB2. // So if it's not a DB2 Session we tell SQuirreL the Plugin should not be used.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Plugin knows only how to script Views and Stored Procedures on DB2. // So if it's not a DB2 Session we tell SQuirreL the Plugin should not be used.

### Response:",NO. The Plugin can be used for other databases too.
6058,// Column 0 // Row 0,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Column 0 // Row 0

### Response:",NO.
6059,// label paint...,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// label paint...

### Response:",NO. // no need to paint labels
6060,// clicked on calendar - not activity,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// clicked on calendar - not activity

### Response:",NO.
6061,"/** * SQLFilterAction.java * * Created on March 22, 2003, 10:55 AM * * Adapted from SessionPropertiesAction.java by Colin Bell. * * TODO: CHange name to ContentsTabFilterAction */",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/** * SQLFilterAction.java * * Created on March 22, 2003, 10:55 AM * * Adapted from SessionPropertiesAction.java by Colin Bell. * * TODO: CHange name to ContentsTabFilterAction */

### Response:",YES.override
6062,//$NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$

### Response:",NO. The property is not a collection...
6063,//}}} //}}} //}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}} //}}} //}}}

### Response:",NO.noOp()
6064,"// since subsequent macros with the same name are ignored, // load user macros first so that they override the system // macros.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// since subsequent macros with the same name are ignored, // load user macros first so that they override the system // macros.

### Response:",NO. Macros are loaded when the session is loaded.
6065,//return AssociationType.FOREIGN_KEY_TO_PARENT; //this is better but causes a transient object exception...,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//return AssociationType.FOREIGN_KEY_TO_PARENT; //this is better but causes a transient object exception...

### Response:",YES.equals(transientObjectExceptionMessage);
6066,// Handle IPv6 urls,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Handle IPv6 urls

### Response:",NO. IPv6 URLs are handled by the generic URL handler.
6067,// TODO: Move to GEF,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: Move to GEF

### Response:",YES.
6068,"// ""DROP INDEX $indexName$"";",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ""DROP INDEX $indexName$"";

### Response:",NO.INDEX_ALTER_DROP
6069,// ---- label2 ----,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ---- label2 ----

### Response:",NO.
6070,"// redraw the whole table because a second shortcut // might have changed, too",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// redraw the whole table because a second shortcut // might have changed, too

### Response:","NO. // The shortcut is not changed until the next // refresh, so we don't need to redraw the table."
6071,// Find new doneIndexLast,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Find new doneIndexLast

### Response:",NO.usingDefault
6072,//$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$

### Response:",NO. The test plans are stored in the testplan subdirectory.
6073,// negativeItemLabelPositionFallback,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// negativeItemLabelPositionFallback

### Response:",NO.
6074,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6075,/* Implements JMeterGUIComponent.modifyTestElement(TestElement) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* Implements JMeterGUIComponent.modifyTestElement(TestElement) */

### Response:",NO. TestElement is not a valid GUI component
6076,// $NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON-NLS-1$

### Response:","NO. The property is not a string, so we cannot use this code"
6077,"// Translate periods into path separators, add .class to the // name, create the File object and add it to the Hashtable.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Translate periods into path separators, add .class to the // name, create the File object and add it to the Hashtable.

### Response:",NO. Class translation is done in the constructor.
6078,"// These two columns will be the only ones in the pktest table. They will // start out being nullable, and we will test that the dialect correctly // converts them to non-null then applies the PK constraint to them. // This test shall not be run against any database dialect that claims not // to support changing the nullability of a column.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// These two columns will be the only ones in the pktest table. They will // start out being nullable, and we will test that the dialect correctly // converts them to non-null then applies the PK constraint to them. // This test shall not be run against any database dialect that claims not // to support changing the nullability of a column.

### Response:","NO. The following dialects do not support changing the nullability of a column: // Derby, Firebird, InterSystems, Oracle, PostgreSQL, Sybase, and SQL Server."
6079,//{{{ processKeyEvent() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ processKeyEvent() method

### Response:",NO.
6080,"// if line doesn't start with ""From"" or line length is 0 // -> save everything in StringBuffer",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// if line doesn't start with ""From"" or line length is 0 // -> save everything in StringBuffer

### Response:",NO.
6081,// Yuck: TIFFImageEncoder uses Error to report runtime problems,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Yuck: TIFFImageEncoder uses Error to report runtime problems

### Response:",YES.
6082,// Begin BeanShell Modification - sourceFile,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Begin BeanShell Modification - sourceFile

### Response:",NO.
6083,/* * org.tigris.gef.presentation.Fig getLineColor() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.tigris.gef.presentation.Fig getLineColor() */

### Response:",NO.
6084,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6085,// i18n[IndexDetailsTab.title=Details],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// i18n[IndexDetailsTab.title=Details]

### Response:",NO.
6086,// Use the token as an identifier.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Use the token as an identifier.

### Response:",NO. Tokens are not identifiers.
6087,/* octal constant */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* octal constant */

### Response:",NO.
6088,// for next time,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// for next time

### Response:",NO.
6089,// i18n[laf.other=Other],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// i18n[laf.other=Other]

### Response:",NO.
6090,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6091,"/* * The initial version used DateFormat.SHORT for the * time format, which ignores seconds. If we want * seconds as well, we need DateFormat.MEDIUM, which * in turn would break all old build files. * * First try to parse with DateFormat.SHORT and if * that fails with MEDIUM - throw an exception if both * fail. */",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * The initial version used DateFormat.SHORT for the * time format, which ignores seconds. If we want * seconds as well, we need DateFormat.MEDIUM, which * in turn would break all old build files. * * First try to parse with DateFormat.SHORT and if * that fails with MEDIUM - throw an exception if both * fail. */

### Response:",NO. Exception is thrown.
6092,// move pos to last character of match sequence,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// move pos to last character of match sequence

### Response:",NO. // cannot be done in Java
6093,"// CRC // mode // link // uid, gid",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// CRC // mode // link // uid, gid

### Response:",NO.getResponseCode()
6094,// legendItemToolTipGenerator,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// legendItemToolTipGenerator

### Response:",NO.
6095,//initCallStack( namespace );,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//initCallStack( namespace );

### Response:",NO.toString
6096,"// Ok button at bottom of dialog. // JPanel btnsPnl = new JPanel(); // JButton okBtn = new JButton(""OK"");",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Ok button at bottom of dialog. // JPanel btnsPnl = new JPanel(); // JButton okBtn = new JButton(""OK"");

### Response:",NO.equals(response)
6097,// Normalise all other whitespace to // a single space.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Normalise all other whitespace to // a single space.

### Response:",NO.
6098,/////////////////////////////////////////////////////////// // IBM DB 2 specific code to read view definitions.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/////////////////////////////////////////////////////////// // IBM DB 2 specific code to read view definitions.

### Response:",NO. The IBM DB 2 specific code can only handle views.
6099,// Apply filter if enabled,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Apply filter if enabled

### Response:",NO.filtering is not supported
6100,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6101,// nothing extra to do currently,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// nothing extra to do currently

### Response:",NO.
6102,// itemLabelsVisibleList,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// itemLabelsVisibleList

### Response:",NO.
6103,// Need to remove the existing jar in the plugins directory and all of the files beneath the // plugin-named directory.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Need to remove the existing jar in the plugins directory and all of the files beneath the // plugin-named directory.

### Response:",NO. Plugins are not removed during an update.
6104,//bind to a compiler,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//bind to a compiler

### Response:",NO.
6105,// Do the work within an operation because this is a long running activity that modifies the workbench. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Do the work within an operation because this is a long running activity that modifies the workbench. //

### Response:",NO. The workbench is not modified.
6106,// $NON-NLS-1$ // $NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON-NLS-1$ // $NON-NLS-1$

### Response:",NO. // $NON-NLS-1$
6107,// just the domain axis...,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// just the domain axis...

### Response:",NO.
6108,"// Loop through the associations, looking for one with aggregation",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Loop through the associations, looking for one with aggregation

### Response:",NO. Aggregation is not supported for UML2.
6109,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows

### Response:",NO. Windows is case sensitive about the case of the first F in FF00..FFEF.
6110,//{{{ SingleSelectionModel class,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ SingleSelectionModel class

### Response:",NO.
6111,// next succeeds // is a match // try next option,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// next succeeds // is a match // try next option

### Response:",NO.stringValue
6112,/* * Javadoc copied from interface. */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * Javadoc copied from interface. */

### Response:",NO. The classifier role is already represented by the *extclassifier*. *
6113,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6114,// i18n[i18n.notGeneratedInWorkDir=File {0} has not been generated. Cannot continue.],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// i18n[i18n.notGeneratedInWorkDir=File {0} has not been generated. Cannot continue.]

### Response:",NO. Generated files are not in the working directory
6115,// will be null for HEAD,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// will be null for HEAD

### Response:",NO.HEAD is not a legal header value
6116,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6117,// Target,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Target

### Response:",NO. Targets are not supported.
6118,"// Test sending data as UTF-8, with values that have been urlencoded",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Test sending data as UTF-8, with values that have been urlencoded

### Response:",NO. The request should have been encoded by the caller
6119,"// No '*'s, so we make a shortcut",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// No '*'s, so we make a shortcut

### Response:",NO.
6120,// defer argument checking...,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// defer argument checking...

### Response:",YES.class;
6121,//{{{ Create buttons,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ Create buttons

### Response:",NO.
6122,// Mocks for generic dialect test,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Mocks for generic dialect test

### Response:",NO. The mocks are for the generic Dialect test. // The Dialect test for your particular Dialect should be in your test suite.
6123,// build the command line from what we got. the format is // cleartool checkin [options...] [viewpath ...] // as specified in the CLEARTOOL.EXE help,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// build the command line from what we got. the format is // cleartool checkin [options...] [viewpath ...] // as specified in the CLEARTOOL.EXE help

### Response:",NO.
6124,// For use by test code only,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// For use by test code only

### Response:",NO. Test code should use the getters.
6125,// $NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON-NLS-1$

### Response:","NO. The property is not a string, so we cannot use this code"
6126,//arbitrary on clause ignored!!,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//arbitrary on clause ignored!!

### Response:",NO. From the SQL standard: // // 3.5.2.2 [3] // ON [NOT] [PRIMARY] [KEY] [INDEX] [USAGE] [NULLABILITY] [CASCADE] [RESTRICT] [SET DEFAULT] [SET NULL] [SET UNIQUE] [SET UNIQUE ON DELETE] [SET UNIQUE ON UPDATE] [SET FOREIGN KEY] [SET FORE
6127,/* * javax.management.NotificationBroadcaster getNotificationInfo() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * javax.management.NotificationBroadcaster getNotificationInfo() */

### Response:",NO. NotificationInfo is not available
6128,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6129,//////////////////////////////////////////////////////////////// // instance variables,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//////////////////////////////////////////////////////////////// // instance variables

### Response:",NO.
6130,// 3 columns table,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// 3 columns table

### Response:",NO. The renderer must be set in the table constructor.
6131,// create a hashtable to group them by parent directory:,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// create a hashtable to group them by parent directory:

### Response:","NO. The key to the hashtable is the filename, not the parent directory."
6132,//////////////////////////////////////////////////////////////// // main methods,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//////////////////////////////////////////////////////////////// // main methods

### Response:",NO.equals(default)
6133,//{{{ LineInfo class,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ LineInfo class

### Response:",NO.
6134,//TODO: should fire its own event and ProjectBrowser //should register a listener,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//TODO: should fire its own event and ProjectBrowser //should register a listener

### Response:",YES.
6135,// frame.listView.update();,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// frame.listView.update();

### Response:",NO.class
6136,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6137,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
6138,"// headerManager was set, so let's set the connection // to use it.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// headerManager was set, so let's set the connection // to use it.

### Response:",NO. The header manager can only be set once.
6139,"// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// If it's a single-arg when but contains an array, we know it's a real literal array // FIXME: This is a gross way to figure it out; parser help similar to yield argument passing (expandArguments) would be better

### Response:",YES.parse(args[0]);
6140,"// if not, check if there is a stroke defined for the specified key",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// if not, check if there is a stroke defined for the specified key

### Response:",NO.
6141,// $NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON-NLS-1$

### Response:","NO. The property is not a string, so we cannot use this code"
6142,//used also for generation of FK names!,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//used also for generation of FK names!

### Response:",NO. Generators for FK names are in the generator class.
6143,/* * org.argouml.ui.targetmanager.TargetListener targetRemoved( * org.argouml.ui.targetmanager.TargetEvent) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.ui.targetmanager.TargetListener targetRemoved( * org.argouml.ui.targetmanager.TargetEvent) */

### Response:",NO.
